"","Year","Site_ID","Plant_gen_sp","plant_id","Fruit_Yes","Fruit_No","Fruit_preyed","Fruit_dispersed","fruit_formado","fruit_total","fruit_proportion","Seeds","Seed_weight","richness","Flower_abundance","Frequency","freq_minute","visitatio_rate","visitation_rate_minute"
"100",2018,"Bonares","Halimium halimifolium","B",2,1,0,0,2,3,0.666666666666667,15.5,0.008245,2,27,7,2.33333333333333,0.259259259259259,0.0864197530864198
"101",2018,"Bonares","Halimium halimifolium","C",5,2,0,0,5,7,0.714285714285714,11.3333333333333,0.00528333333333333,3,56.75,44,14.6666666666667,0.775330396475771,0.258443465491924
"102",2018,"Bonares","Halimium halimifolium","D",2,0,0,0,2,2,1,8.5,0.00604,3,32,9,3,0.28125,0.09375
"103",2019,"Bonares","Halimium halimifolium","A",4,0,0,0,4,4,1,19,0.0137633333333333,4,59.75,13,4.33333333333333,0.217573221757322,0.0725244072524407
"104",2019,"Bonares","Halimium halimifolium","C",4,0,0,0,4,4,1,20.3333333333333,0.01301,1,13,3,1,0.230769230769231,0.0769230769230769
"105",2017,"Bonares","Lavandula pedunculata","A",129,47,2,0,131,178,0.735955056179775,2.33333333333333,0.000606666666666667,1,126.666666666667,24,8,0.189473684210526,0.0631578947368421
"106",2017,"Bonares","Lavandula pedunculata","B",123,30,42,0,165,195,0.846153846153846,2.33333333333333,0.00066,2,266.666666666667,21,7,0.07875,0.02625
"107",2015,"Bonares","Lavandula stoechas","A",397,54,10,0,407,461,0.882863340563991,1.8,0.000638,1,197.2,33,6.6,0.167342799188641,0.0334685598377282
"108",2015,"Bonares","Lavandula stoechas","B",353,82,15,0,368,450,0.817777777777778,2.4,0.000684,2,187.6,50,10,0.266524520255864,0.0533049040511727
"109",2015,"Bonares","Lavandula stoechas","C",264,91,20,0,284,375,0.757333333333333,2.6,0.000534,NA,144.5,NA,NA,NA,NA
"110",2016,"Bonares","Lavandula stoechas","A",116,13,5,0,121,134,0.902985074626866,3,0.000583333333333333,3,102.833333333333,18,3.6,0.175040518638574,0.0350081037277147
"111",2016,"Bonares","Lavandula stoechas","B",97,9,4,0,101,110,0.918181818181818,3,0.000516666666666667,2,50.6666666666667,18,3.6,0.355263157894737,0.0710526315789474
"112",2018,"Convento_de_la_luz","Cistus crispus","A",3,4,0,0,3,7,0.428571428571429,42,0.0212333333333333,1,21.5,8,2.66666666666667,0.372093023255814,0.124031007751938
"113",2018,"Convento_de_la_luz","Cistus crispus","B",5,5,2,0,7,12,0.583333333333333,36,0.0203966666666667,3,15.3333333333333,3,1,0.195652173913043,0.0652173913043478
"114",2015,"Convento_de_la_luz","Cistus ladanifer","A",4,0,2,0,6,6,1,569.5,0.14401,5,21,16,3.2,0.761904761904762,0.152380952380952
"115",2015,"Convento_de_la_luz","Cistus ladanifer","B",4,4,3,0,7,11,0.636363636363636,107,0.03072,1,36.5,64,12.8,1.75342465753425,0.350684931506849
"116",2016,"Convento_de_la_luz","Cistus ladanifer","A",1,0,1,0,2,2,1,113,0.04297,2,11.5,5,1,0.434782608695652,0.0869565217391304
"117",2017,"Convento_de_la_luz","Cistus ladanifer","A",3,0,0,0,3,3,1,700.666666666667,0.210983333333333,3,3.66666666666667,8,2.66666666666667,2.18181818181818,0.727272727272727
"118",2017,"Convento_de_la_luz","Cistus ladanifer","B",3,0,1,0,4,4,1,329.333333333333,0.112026666666667,2,8,5,1.66666666666667,0.625,0.208333333333333
"119",2015,"Convento_de_la_luz","Cistus salviifolius","B",3,0,1,0,4,4,1,40.4,0.039378,4,62.25,28,5.6,0.449799196787149,0.0899598393574297
"120",2016,"Convento_de_la_luz","Cistus salviifolius","A",2,0,1,0,3,3,1,16.6666666666667,0.0224066666666667,NA,1,NA,NA,NA,NA
"121",2017,"Convento_de_la_luz","Cistus salviifolius","A",2,0,0,0,2,2,1,51,0.07006,2,29,4,1.33333333333333,0.137931034482759,0.0459770114942529
"122",2017,"Convento_de_la_luz","Cistus salviifolius","B",4,0,0,0,4,4,1,56,0.0665366666666667,1,21,3,1,0.142857142857143,0.0476190476190476
"123",2015,"Convento_de_la_luz","Halimium halimifolium","A",12,4,0,0,12,16,0.75,22.6666666666667,0.0112633333333333,NA,400,NA,NA,NA,NA
"124",2016,"Convento_de_la_luz","Halimium halimifolium","A",11,1,0,0,11,12,0.916666666666667,14.75,0.007675,NA,7,NA,NA,NA,NA
"125",2016,"Convento_de_la_luz","Halimium halimifolium","B",2,4,0,4,6,10,0.6,18.6666666666667,0.00667,NA,26,NA,NA,NA,NA
"126",2017,"Convento_de_la_luz","Halimium halimifolium","A",6,0,0,0,6,6,1,17.3333333333333,0.00861666666666667,3,5.33333333333333,3,1,0.5625,0.1875
"127",2017,"Convento_de_la_luz","Halimium halimifolium","B",10,0,0,0,10,10,1,16.6666666666667,0.00856,1,8,2,0.666666666666667,0.25,0.0833333333333333
"128",2018,"Convento_de_la_luz","Halimium halimifolium","A",2,0,0,0,2,2,1,30.5,0.017745,6,61.3333333333333,31,10.3333333333333,0.505434782608696,0.168478260869565
"129",2018,"Convento_de_la_luz","Halimium halimifolium","B",4,2,0,0,4,6,0.666666666666667,27.6666666666667,0.0138866666666667,5,27.1666666666667,35,11.6666666666667,1.28834355828221,0.429447852760736
"130",2018,"Convento_de_la_luz","Halimium halimifolium","C",2,2,0,0,2,4,0.5,24.5,0.013565,6,31,26,8.66666666666667,0.838709677419355,0.279569892473118
"131",2018,"Convento_de_la_luz","Halimium halimifolium","D",7,3,0,0,7,10,0.7,27.6666666666667,0.0142266666666667,1,22,1,0.333333333333333,0.0454545454545455,0.0151515151515152
"132",2019,"Convento_de_la_luz","Halimium halimifolium","A",4,2,1,0,5,7,0.714285714285714,12.3333333333333,0.00826333333333333,4,106.833333333333,22,7.33333333333333,0.205928237129485,0.0686427457098284
"133",2019,"Convento_de_la_luz","Halimium halimifolium","B",4,1,0,0,4,5,0.8,5.66666666666667,0.0025,5,54.5714285714286,18,6,0.329842931937173,0.109947643979058
"134",2019,"Convento_de_la_luz","Halimium halimifolium","C",3,0,0,0,3,3,1,5.66666666666667,0.00313666666666667,4,64.6,9,3,0.139318885448916,0.0464396284829721
"135",2016,"Convento_de_la_luz","Lavandula pedunculata","A",131,3,3,0,134,137,0.978102189781022,1.5,0.00059,4,57.6666666666667,14,2.8,0.242774566473988,0.0485549132947977
"136",2016,"Convento_de_la_luz","Lavandula pedunculata","B",111,12,0,0,111,123,0.902439024390244,1.66666666666667,6e-04,NA,60,NA,NA,NA,NA
