"","Year","Site_ID","Plant_sp","plant_id","richness08","richness","Coleop_freq","Dip_freq","Hym_freq","Frequency","Fruit_proportion","seed_number","Seed_weight"
"251",2016,"El pozo","Cistus salviifolius","B",1,1,0,0,1,1,1,23,0.02597
"252",2017,"El pozo","Cistus salviifolius","A",1,1,0,1,0,1,0,0,0
"253",2017,"El pozo","Cistus salviifolius","B",0,1,0,0,1,1,0,0,0
"254",2018,"El pozo","Cistus salviifolius","A",0,0,0,0,0,0,0,0,0
"255",2018,"El pozo","Cistus salviifolius","B",0,0,0,0,0,0,0,0,0
"256",2018,"El pozo","Cistus salviifolius","C",0,0,0,0,0,0,0,20,0.018265
"257",2018,"El pozo","Cistus salviifolius","D",0,0,0,0,0,0,1,16.5,0.022285
"258",2016,"El pozo","Halimium halimifolium","A",0,0,0,0,0,0,1,13.3333333333333,0.00509
"259",2016,"El pozo","Halimium halimifolium","B",0,0,0,0,0,0,1,2.66666666666667,0.00104333333333333
"260",2018,"El pozo","Halimium halimifolium","A",1,1,1,0,0,1,1,16.3333333333333,0.00731333333333333
